Не	не=PRCL	не=PRCL
столь	столь=ADVB
красиво	красиво=ADVB
вышло	вышел=VERB,perf,intr,neut,sing,past,indc
с	с=PREP
египтологом	египтолог=NOUN,anim,masc,sing,ablt
Виктором	виктор=NOUN,anim,masc,Name,sing,ablt
Солкиным	солкиным=UNKN
.	.=PNCT

Шарада	шарада=NOUN,inan,femn,sing,nomn
от	от=PREP
Шеридана	шеридана=UNKN

Международная	международный=ADJF,femn,sing,nomn
биеннале	биеннале=UNKN
медиаискусства	медиаискусства=UNKN

Продлится	продлился=VERB,perf,intr,sing,3per,futr,indc
она	она=NPRO,femn,3per,sing,nomn
55	55=UNKN
дней	день=NOUN,inan,masc,plur,gent
,	,=PNCT
до	до=PREP
5	5=UNKN
ноября	ноябрь=NOUN,inan,masc,sing,gent
.	.=PNCT

Ромкомы	ромкомы=UNKN
,	,=PNCT
если	если=CONJ
сокращенно	сокращённо=ADVB
.	.=PNCT

Кто	кто=NPRO,masc,sing,nomn
нежнее	нежнее=COMP,Qual

Несмотря	несмотря=PREP
на	на=PREP
хеппи-энд	хеппи-энд=UNKN
.	.=PNCT

Перебарщивают	перебарщиваю=VERB,impf,intr,plur,3per,pres,indc
с	с=PREP
милыми	милый=ADJF,Subx,Qual,plur,ablt
глупостями	глупость=NOUN,inan,femn,plur,ablt
.	.=PNCT

Пересахаривают	пересахариваю=VERB,impf,tran,plur,3per,pres,indc
.	.=PNCT

Но	но=CONJ
совсем	совсем=ADVB
прощаться	прощаться=INFN,impf,intr
с	с=PREP
достоверностью	достоверность=NOUN,inan,femn,sing,ablt
не	не=PRCL
годится	гожусь=VERB,impf,intr,sing,3per,pres,indc
.	.=PNCT

Нарядов	наряд=NOUN,inan,masc,plur,gent
.	.=PNCT

Денег	деньги=NOUN,inan,GNdr,Pltm,plur,gent
,	,=PNCT
в	в=PREP
конце	конец=NOUN,inan,masc,sing,loct
концов	конец=NOUN,inan,masc,plur,gent
.	.=PNCT

Очаровывает	очаровываю=VERB,impf,tran,sing,3per,pres,indc
.	.=PNCT

Он	он=NPRO,masc,3per,sing,nomn
серьезнее	серьёзнее=COMP,Qual
.	.=PNCT

Соблазняет	соблазняю=VERB,impf,tran,sing,3per,pres,indc
.	.=PNCT

Шалит	шалю=VERB,impf,intr,sing,3per,pres,indc
.	.=PNCT

Фрик	фрик=UNKN
.	.=PNCT

Потом	потом=ADVB
,	,=PNCT
остывши	остыв=GRND,perf,intr,past,V-sh
,	,=PNCT
снова	снова=ADVB
входят	вхожу=VERB,impf,intr,plur,3per,pres,indc
в	в=PREP
жаркую	жаркий=ADJF,Qual,femn,sing,accs
баню	баня=NOUN,inan,femn,sing,accs
.	.=PNCT

100	100=UNKN
дней	день=NOUN,inan,masc,plur,gent
Обамы	обамы=UNKN
:	:=PNCT
iТоги	iТоги=UNKN

Где-то	где-то=ADVB
(	(=PNCT
СУМЗ	сумз=UNKN
)	)=PNCT
на	на=PREP
27	27=UNKN
